tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
0,   3645 , 1452 ,  31   , 2065, 6.31   , 3507
3069,   3643 , 1431 ,  31   , 2065, 6.31   , 3502
1,   3648 , 1426 ,  31   , 2065, 6.31   , 3496
3070,   3650 , 1426 ,  31   , 2065, 6.31   , 3496
2,   3650 , 1426 ,  31   , 2065, 6.31   , 3496
3071,   3649 , 1429 ,  31   , 2065, 6.31   , 3499
3,   3651 , 1429 ,  31   , 2065, 6.31   , 3501
3072,   3651 , 1431 ,  31   , 2065, 6.31   , 3501
4,   3650 , 1435 ,  31   , 2065, 6.31   , 3505
3073,   3650 , 1435 ,  31   , 2065, 6.31   , 3505
5,   3652 , 1434 ,  31   , 2065, 6.31   , 3504
3074,   3652 , 1431 ,  31   , 2065, 6.31   , 3500
6,   3652 , 1431 ,  31   , 2065, 6.31   , 3500
3075,   3652 , 1461 ,  31   , 2065, 6.31   , 3532
7,   3652 , 1462 ,  31   , 2065, 6.31   , 3532
3076,   3653 , 1461 ,  31   , 2065, 6.31   , 3531
8,   3652 , 1465 ,  31   , 2065, 6.31   , 3535
3077,   3652 , 1465 ,  31   , 2065, 6.31   , 3535
9,   3653 , 1464 ,  31   , 2065, 6.32   , 3535
3078,   3653 , 1464 ,  31   , 2065, 6.32   , 3534
10,   3652 , 1465 ,  31   , 2065, 6.32   , 3535
3080,   3653 , 1464 ,  31   , 2065, 6.32   , 3534
11,   3652 , 1464 ,  31   , 2065, 6.32   , 3534
3081,   3654 , 1464 ,  31   , 2065, 6.32   , 3534
12,   3654 , 1463 ,  31   , 2065, 6.32   , 3533
3082,   3654 , 1462 ,  31   , 2065, 6.32   , 3532
13,   3654 , 1463 ,  31   , 2065, 6.32   , 3533
3083,   3655 , 1462 ,  31   , 2065, 6.32   , 3532
14,   3656 , 1461 ,  31   , 2065, 6.32   , 3530
3084,   3657 , 1460 ,  31   , 2065, 6.32   , 3530
15,   3656 , 1458 ,  31   , 2065, 6.32   , 3527
3085,   3657 , 1457 ,  31   , 2065, 6.32   , 3527
17,   3657 , 1457 ,  31   , 2065, 6.32   , 3527
3086,   3658 , 1456 ,  31   , 2065, 6.32   , 3527
18,   3658 , 1456 ,  31   , 2065, 6.32   , 3526
3087,   3658 , 1456 ,  31   , 2065, 6.32   , 3526
19,   3659 , 1455 ,  31   , 2065, 6.32   , 3525
3088,   3659 , 1455 ,  31   , 2065, 6.32   , 3525
20,   3659 , 1457 ,  31   , 2065, 6.32   , 3527
3089,   3660 , 1457 ,  31   , 2065, 6.32   , 3527
21,   3658 , 1459 ,  31   , 2065, 6.32   , 3528
3090,   3659 , 1458 ,  31   , 2065, 6.32   , 3528
22,   3659 , 1458 ,  31   , 2065, 6.32   , 3527
3091,   3660 , 1454 ,  31   , 2065, 6.32   , 3524
23,   3660 , 1453 ,  31   , 2065, 6.32   , 3524
3092,   3660 , 1453 ,  31   , 2065, 6.33   , 3525
24,   3661 , 1452 ,  31   , 2065, 6.33   , 3525
3093,   3661 , 1452 ,  31   , 2065, 6.33   , 3525
25,   3662 , 1452 ,  31   , 2065, 6.33   , 3524
3094,   3662 , 1452 ,  31   , 2065, 6.33   , 3524
26,   3663 , 1454 ,  31   , 2065, 6.33   , 3526
3095,   3661 , 1455 ,  31   , 2065, 6.33   , 3527
27,   3662 , 1455 ,  31   , 2065, 6.33   , 3528
3096,   3662 , 1454 ,  31   , 2065, 6.33   , 3527
28,   3662 , 1454 ,  31   , 2065, 6.33   , 3527
3097,   3662 , 1455 ,  31   , 2065, 6.33   , 3527
29,   3662 , 1445 ,  31   , 2065, 6.33   , 3518
3098,   3663 , 1445 ,  31   , 2065, 6.33   , 3518
30,   3662 , 1447 ,  31   , 2065, 6.33   , 3519
3099,   3662 , 1447 ,  31   , 2065, 6.33   , 3520
31,   3662 , 1447 ,  31   , 2065, 6.33   , 3520
3100,   3663 , 1447 ,  31   , 2065, 6.33   , 3520
32,   3662 , 1451 ,  31   , 2065, 6.33   , 3524
3101,   3662 , 1451 ,  31   , 2065, 6.33   , 3524
33,   3662 , 1451 ,  31   , 2065, 6.33   , 3524
3102,   3662 , 1451 ,  31   , 2065, 6.33   , 3524
34,   3663 , 1450 ,  31   , 2065, 6.33   , 3522
3103,   3663 , 1450 ,  31   , 2065, 6.33   , 3523
35,   3663 , 1450 ,  31   , 2065, 6.33   , 3523
3104,   3664 , 1449 ,  31   , 2065, 6.33   , 3523
36,   3664 , 1449 ,  31   , 2065, 6.34   , 3522
3105,   3664 , 1449 ,  31   , 2065, 6.34   , 3523
37,   3663 , 1450 ,  31   , 2065, 6.34   , 3522
3106,   3664 , 1449 ,  31   , 2065, 6.34   , 3523
38,   3663 , 1445 ,  31   , 2065, 6.34   , 3517
3107,   3663 , 1445 ,  31   , 2065, 6.34   , 3518
39,   3664 , 1444 ,  31   , 2065, 6.34   , 3517
3108,   3664 , 1444 ,  31   , 2065, 6.34   , 3516
40,   3664 , 1445 ,  31   , 2065, 6.34   , 3517
3109,   3665 , 1444 ,  31   , 2065, 6.34   , 3517
41,   3665 , 1443 ,  31   , 2065, 6.34   , 3516
3110,   3664 , 1443 ,  31   , 2065, 6.34   , 3516
42,   3666 , 1442 ,  31   , 2065, 6.34   , 3515
3111,   3666 , 1443 ,  31   , 2065, 6.34   , 3517
43,   3666 , 1443 ,  31   , 2065, 6.34   , 3516
3112,   3665 , 1443 ,  31   , 2065, 6.34   , 3516
44,   3667 , 1446 ,  31   , 2065, 6.34   , 3519
3113,   3667 , 1446 ,  31   , 2065, 6.34   , 3519
45,   3667 , 1446 ,  31   , 2065, 6.34   , 3518
3115,   3667 , 1445 ,  31   , 2065, 6.34   , 3518
46,   3668 , 1440 ,  31   , 2065, 6.34   , 3513
3116,   3668 , 1440 ,  31   , 2065, 6.34   , 3513
47,   3664 , 1444 ,  31   , 2065, 6.34   , 3517
3117,   3664 , 1444 ,  31   , 2065, 6.34   , 3516
48,   3649 , 1459 ,  31   , 2065, 6.35   , 3532
