tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
0,   2193 , 3454 ,   0   , 2097, 8.69   , 4974
1,   2193 , 3443 ,   0   , 2097, 8.69   , 4965
2,   2195 , 3444 ,   0   , 2097, 8.69   , 4964
3,   2197 , 3410 ,   0   , 2097, 8.70   , 4929
4,   2319 , 3275 ,   0   , 2097, 8.70   , 4805
5,   2318 , 3296 ,   0   , 2097, 8.70   , 4826
6,   2269 , 3350 ,   0   , 2097, 8.70   , 4887
7,   2265 , 3355 ,   0   , 2097, 8.70   , 4893
8,   2265 , 3355 ,   0   , 2097, 8.70   , 4893
9,   2265 , 3355 ,   0   , 2097, 8.70   , 4892
10,   2265 , 3355 ,   0   , 2097, 8.70   , 4893
11,   2267 , 3353 ,   0   , 2097, 8.69   , 4892
12,   2266 , 3354 ,   0   , 2097, 8.69   , 4892
13,   2261 , 3361 ,   0   , 2097, 8.69   , 4899
14,   2234 , 3388 ,   0   , 2097, 8.69   , 4926
15,   2234 , 3386 ,   0   , 2097, 8.69   , 4923
