tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
0,   3483 ,  295 ,  10   , 2086, 1.60   , 2682
1,   3485 ,  307 ,  10   , 2086, 1.60   , 2711
2,   3486 ,  306 ,  10   , 2086, 1.60   , 2713
3,   3487 ,  333 ,  10   , 2086, 1.60   , 2739
4,   3486 ,  325 ,  10   , 2086, 1.60   , 2732
5,   3486 ,  326 ,  10   , 2086, 1.60   , 2734
6,   3486 ,  327 ,  10   , 2086, 1.60   , 2734
7,   3488 ,  335 ,  10   , 2086, 1.60   , 2742
8,   3487 ,  331 ,  10   , 2086, 1.60   , 2738
9,   3488 ,  331 ,  10   , 2086, 1.60   , 2737
10,   3488 ,  333 ,  10   , 2086, 1.60   , 2739
11,   3488 ,  334 ,  10   , 2086, 1.60   , 2740
12,   3489 ,  330 ,  10   , 2086, 1.60   , 2736
13,   3488 ,  335 ,  10   , 2086, 1.60   , 2741
14,   3488 ,  334 ,  10   , 2086, 1.60   , 2743
15,   3489 ,  336 ,  10   , 2086, 1.60   , 2743
16,   3489 ,  337 ,  10   , 2086, 1.59   , 2742
17,   3490 ,  333 ,  10   , 2086, 1.59   , 2740
18,   3489 ,  334 ,  10   , 2086, 1.59   , 2740
19,   3490 ,  336 ,  10   , 2086, 1.59   , 2743
20,   3489 ,  338 ,  10   , 2086, 1.59   , 2744
21,   3489 ,  334 ,  10   , 2086, 1.59   , 2740
22,   3491 ,  332 ,  10   , 2086, 1.59   , 2740
24,   3491 ,  336 ,  10   , 2086, 1.59   , 2742
25,   3492 ,  329 ,  10   , 2086, 1.59   , 2736
26,   3491 ,  331 ,  10   , 2086, 1.59   , 2738
27,   3490 ,  327 ,  10   , 2086, 1.59   , 2733
28,   3490 ,  328 ,  10   , 2086, 1.59   , 2734
29,   3491 ,  328 ,  10   , 2086, 1.59   , 2735
30,   3491 ,  334 ,  10   , 2086, 1.59   , 2741
31,   3492 ,  334 ,  10   , 2086, 1.59   , 2741
32,   3493 ,  329 ,  10   , 2086, 1.59   , 2736
33,   3493 ,  330 ,  10   , 2086, 1.59   , 2736
34,   3494 ,  329 ,  10   , 2086, 1.58   , 2736
35,   3494 ,  327 ,  10   , 2086, 1.58   , 2734
36,   3494 ,  327 ,  10   , 2086, 1.58   , 2734
37,   3496 ,  324 ,  10   , 2086, 1.58   , 2730
38,   3497 ,  326 ,  10   , 2086, 1.58   , 2734
39,   3496 ,  322 ,  10   , 2086, 1.58   , 2728
40,   3497 ,  324 ,  10   , 2086, 1.58   , 2731
41,   3498 ,  328 ,  10   , 2086, 1.58   , 2734
42,   3498 ,  325 ,  10   , 2086, 1.58   , 2731
43,   3499 ,  324 ,  10   , 2086, 1.58   , 2731
44,   3498 ,  325 ,  10   , 2086, 1.58   , 2732
45,   3499 ,  327 ,  10   , 2086, 1.58   , 2733
46,   3499 ,  322 ,  10   , 2086, 1.58   , 2729
47,   3499 ,  319 ,  10   , 2086, 1.58   , 2726
48,   3499 ,  319 ,  10   , 2086, 1.58   , 2726
49,   3501 ,  318 ,  10   , 2086, 1.57   , 2725
51,   3502 ,  323 ,  10   , 2086, 1.57   , 2730
52,   3503 ,  323 ,  10   , 2086, 1.57   , 2729
53,   3502 ,  315 ,  10   , 2086, 1.57   , 2722
54,   3504 ,  314 ,  10   , 2086, 1.57   , 2721
55,   3504 ,  315 ,  10   , 2086, 1.57   , 2722
56,   3504 ,  318 ,  10   , 2086, 1.57   , 2725
57,   3505 ,  320 ,  10   , 2086, 1.57   , 2727
58,   3485 ,  336 ,  10   , 2086, 1.57   , 2742
59,   3485 ,  336 ,  10   , 2086, 1.57   , 2743
60,   3484 ,  334 ,  10   , 2086, 1.57   , 2741
61,   3484 ,  342 ,  10   , 2086, 1.57   , 2748
62,   3485 ,  341 ,  10   , 2086, 1.57   , 2749
63,   3485 ,  338 ,  10   , 2086, 1.57   , 2745
64,   3484 ,  333 ,  10   , 2086, 1.57   , 2740
65,   3485 ,  334 ,  10   , 2086, 1.57   , 2741
66,   3485 ,  337 ,  10   , 2086, 1.57   , 2744
67,   3485 ,  341 ,  10   , 2086, 1.57   , 2747
68,   3485 ,  337 ,  10   , 2086, 1.56   , 2744
69,   3485 ,  333 ,  10   , 2086, 1.56   , 2739
70,   3486 ,  335 ,  10   , 2086, 1.56   , 2742
71,   3486 ,  338 ,  10   , 2086, 1.56   , 2744
72,   3486 ,  331 ,  10   , 2086, 1.56   , 2738
73,   3487 ,  331 ,  10   , 2086, 1.56   , 2738
74,   3486 ,  335 ,  10   , 2086, 1.56   , 2742
76,   3487 ,  338 ,  10   , 2086, 1.56   , 2745
77,   3487 ,  338 ,  10   , 2086, 1.56   , 2745
78,   3488 ,  334 ,  10   , 2086, 1.56   , 2740
79,   3488 ,  334 ,  10   , 2086, 1.56   , 2741
80,   3489 ,  334 ,  10   , 2086, 1.56   , 2741
81,   3489 ,  337 ,  10   , 2086, 1.56   , 2744
82,   3489 ,  337 ,  10   , 2086, 1.56   , 2744
83,   3490 ,  333 ,  10   , 2086, 1.56   , 2740
84,   3490 ,  309 ,  10   , 2086, 1.56   , 2715
85,   3488 ,  305 ,  10   , 2086, 1.56   , 2712
86,   3488 ,  333 ,  10   , 2086, 1.55   , 2740
87,   3486 ,  319 ,  10   , 2086, 1.55   , 2727
88,   3486 ,  320 ,  10   , 2086, 1.55   , 2728
89,   3484 ,  317 ,  10   , 2086, 1.55   , 2725
90,   3483 ,  320 ,  10   , 2086, 1.55   , 2728
91,   3483 ,  320 ,  10   , 2086, 1.55   , 2729
92,   3479 ,  330 ,  10   , 2086, 1.55   , 2739
93,   3480 ,  329 ,  10   , 2086, 1.55   , 2739
94,   3481 ,  323 ,  10   , 2086, 1.55   , 2733
95,   3481 ,  323 ,  10   , 2086, 1.55   , 2734
96,   3482 ,  323 ,  10   , 2086, 1.55   , 2733
97,   3482 ,  321 ,  10   , 2086, 1.55   , 2731
98,   3483 ,  320 ,  10   , 2086, 1.55   , 2731
99,   3483 ,  321 ,  10   , 2086, 1.55   , 2732
101,   3484 ,  318 ,  10   , 2086, 1.55   , 2729
102,   3483 ,  319 ,  10   , 2086, 1.55   , 2731
103,   3485 ,  322 ,  10   , 2086, 1.55   , 2733
104,   3485 ,  325 ,  10   , 2086, 1.54   , 2733
105,   3485 ,  322 ,  10   , 2086, 1.54   , 2732
106,   3486 ,  320 ,  10   , 2086, 1.54   , 2732
107,   3486 ,  322 ,  10   , 2086, 1.54   , 2736
108,   3489 ,  316 ,  10   , 2086, 1.54   , 2729
109,   3486 ,  316 ,  10   , 2086, 1.54   , 2730
110,   3486 ,  318 ,  10   , 2086, 1.54   , 2732
111,   3486 ,  317 ,  10   , 2086, 1.54   , 2732
112,   3488 ,  312 ,  10   , 2086, 1.54   , 2726
113,   3489 ,  310 ,  10   , 2086, 1.54   , 2725
114,   3488 ,  312 ,  10   , 2086, 1.54   , 2727
115,   3488 ,  316 ,  10   , 2086, 1.54   , 2731
116,   3489 ,  311 ,  10   , 2086, 1.54   , 2727
117,   3489 ,  312 ,  10   , 2086, 1.53   , 2727
118,   3490 ,  311 ,  10   , 2086, 1.53   , 2726
119,   3491 ,  313 ,  10   , 2086, 1.53   , 2730
120,   3490 ,  312 ,  10   , 2086, 1.53   , 2728
121,   3490 ,  312 ,  10   , 2086, 1.53   , 2728
122,   3492 ,  310 ,  10   , 2086, 1.53   , 2727
123,   3491 ,  310 ,  10   , 2086, 1.53   , 2729
124,   3492 ,  309 ,  10   , 2086, 1.53   , 2727
125,   3491 ,  311 ,  10   , 2086, 1.53   , 2729
127,   3492 ,  304 ,  10   , 2086, 1.53   , 2722
128,   3493 ,  304 ,  10   , 2086, 1.53   , 2723
129,   3472 ,  324 ,  10   , 2086, 1.53   , 2743
130,   3471 ,  328 ,  10   , 2086, 1.53   , 2748
131,   3471 ,  329 ,  10   , 2086, 1.53   , 2747
132,   3471 ,  325 ,  10   , 2086, 1.53   , 2744
133,   3471 ,  326 ,  10   , 2086, 1.53   , 2745
134,   3473 ,  325 ,  10   , 2086, 1.52   , 2740
135,   3471 ,  321 ,  10   , 2086, 1.52   , 2740
136,   3473 ,  320 ,  10   , 2086, 1.52   , 2741
137,   3474 ,  319 ,  10   , 2086, 1.52   , 2740
138,   3473 ,  320 ,  10   , 2086, 1.52   , 2741
139,   3474 ,  323 ,  10   , 2086, 1.52   , 2745
140,   3474 ,  323 ,  10   , 2086, 1.52   , 2745
141,   3475 ,  315 ,  10   , 2086, 1.52   , 2737
142,   3475 ,  316 ,  10   , 2086, 1.52   , 2738
143,   3475 ,  315 ,  10   , 2086, 1.52   , 2738
144,   3475 ,  316 ,  10   , 2086, 1.52   , 2740
145,   3474 ,  321 ,  10   , 2086, 1.52   , 2745
146,   3475 ,  320 ,  10   , 2086, 1.52   , 2744
147,   3475 ,  320 ,  10   , 2086, 1.52   , 2743
148,   3476 ,  317 ,  10   , 2086, 1.52   , 2740
149,   3478 ,  316 ,  10   , 2086, 1.52   , 2740
150,   3478 ,  315 ,  10   , 2086, 1.52   , 2741
151,   3478 ,  316 ,  10   , 2086, 1.51   , 2741
153,   3479 ,  320 ,  10   , 2086, 1.51   , 2745
154,   3478 ,  309 ,  10   , 2086, 1.51   , 2734
155,   3478 ,  311 ,  10   , 2086, 1.51   , 2736
156,   3479 ,  309 ,  10   , 2086, 1.51   , 2735
157,   3480 ,  316 ,  10   , 2086, 1.51   , 2742
158,   3480 ,  313 ,  10   , 2086, 1.51   , 2740
159,   3482 ,  314 ,  10   , 2086, 1.51   , 2740
160,   3481 ,  315 ,  10   , 2086, 1.51   , 2742
161,   3481 ,  315 ,  10   , 2086, 1.51   , 2742
162,   3481 ,  309 ,  10   , 2086, 1.51   , 2737
163,   3482 ,  309 ,  10   , 2086, 1.51   , 2737
164,   3483 ,  308 ,  10   , 2086, 1.50   , 2736
165,   3483 ,  307 ,  10   , 2086, 1.50   , 2735
166,   3483 ,  307 ,  10   , 2086, 1.50   , 2735
167,   3483 ,  308 ,  10   , 2086, 1.50   , 2737
168,   3484 ,  308 ,  10   , 2086, 1.50   , 2736
169,   3486 ,  309 ,  10   , 2086, 1.50   , 2739
170,   3485 ,  309 ,  10   , 2086, 1.50   , 2739
171,   3485 ,  309 ,  10   , 2086, 1.50   , 2738
172,   3486 ,  302 ,  10   , 2086, 1.50   , 2733
173,   3486 ,  298 ,  10   , 2086, 1.50   , 2729
174,   3486 ,  300 ,  10   , 2086, 1.50   , 2729
175,   3488 ,  300 ,  10   , 2086, 1.50   , 2731
176,   3489 ,  299 ,  10   , 2086, 1.50   , 2730
177,   3489 ,  299 ,  10   , 2086, 1.50   , 2730
178,   3488 ,  300 ,  10   , 2086, 1.50   , 2732
180,   3489 ,  300 ,  10   , 2086, 1.49   , 2732
181,   3490 ,  293 ,  10   , 2086, 1.49   , 2725
182,   3489 ,  293 ,  10   , 2086, 1.49   , 2726
183,   3497 ,  274 ,  10   , 2086, 1.49   , 2707
184,   3492 ,  285 ,  10   , 2086, 1.50   , 2717
185,   3493 ,  293 ,  10   , 2086, 1.49   , 2726
186,   3493 ,  293 ,  10   , 2086, 1.49   , 2726
